Date,DIA,TLT,CASH,DIA_CHOICE,TLT_CHOICE,CASH_CHOICE,DateCopy,B_FREQ,DIA_LEN,DIA_LEX,DIA_NUL,DIA_R,TLT_LEN,TLT_LEX,TLT_NUL,TLT_R,CASH_LEN,CASH_LEX,CASH_NUL,CASH_R,ALL_R,DETREND_ALL_R,I,DETREND_I
2017-09-11,0.011547006796387649,-0.011938168112090919,0.0,0.0,1.0,0.0,2017-09-11,both,False,True,0.0,0.0,True,False,1.0,-0.011938168112090919,False,True,0.0,0.0,-0.011938168112090919,-0.06516504755895902,1.2802079316673174,0.8137081250893168
2017-09-12,0.0029896291830455723,-0.005256572172509855,0.0,0.0,1.0,0.0,2017-09-12,both,False,True,0.0,0.0,True,False,1.0,-0.005256572172509855,False,True,0.0,0.0,-0.005256572172509855,-0.031043746044211562,1.2734784262786887,0.7884475766999325
2017-09-13,0.0015356170210203413,-0.003943380228414339,0.0,1.0,0.0,0.0,2017-09-13,both,True,False,1.0,0.0,False,True,0.0,-0.003943380228414339,False,True,0.0,0.0,-0.003943380228414339,-0.024240495485715607,1.268456616631189,0.7693352167762144
2017-09-14,0.002525360622347206,0.004117579290069617,0.0,1.0,0.0,0.0,2017-09-14,both,True,False,1.0,0.0,False,True,0.0,0.004117579290069617,False,True,0.0,0.0,0.004117579290069617,0.02310014063098831,1.2736795873261815,0.7871069684761168
2017-09-15,0.0026501658921813664,0.0003942306726529843,0.0,1.0,0.0,0.0,2017-09-15,both,True,False,1.0,0.0026501658921813664,False,True,0.0,0.0,False,True,0.0,0.0,0.0026501658921813664,0.00479124870254144,1.277055049526081,0.7908781937175894
2017-09-18,0.0031921090335480518,-0.0057545422441594996,0.0,1.0,0.0,0.0,2017-09-18,both,True,False,1.0,0.0031921090335480518,False,True,0.0,-0.0,False,True,0.0,0.0,0.0031921090335480518,0.005974357090791305,1.2811315484860115,0.7956031824621783
2017-09-19,0.0018818401516755845,-0.002457887238451306,0.0,1.0,0.0,0.0,2017-09-19,both,True,False,1.0,0.0018818401516755845,False,True,0.0,-0.0,False,True,0.0,0.0,0.0018818401516755845,0.003090628105311799,1.2835424332735308,0.7980620960185715
2017-09-20,0.0014312384496801833,0.0007154974767777933,0.0,1.0,0.0,0.0,2017-09-20,both,True,False,1.0,0.0014312384496801833,False,True,0.0,0.0,False,True,0.0,0.0,0.0014312384496801833,0.0021028640184377334,1.2853794885558278,0.7997403120847679
2017-09-21,-0.0019207564789852638,-0.0005559848684444368,0.0,1.0,0.0,0.0,2017-09-21,both,True,False,1.0,-0.0019207564789852638,False,True,0.0,-0.0,False,True,0.0,0.0,-0.0019207564789852638,-0.00522676641206421,1.2829105875752296,0.7955602562831895
2017-09-22,-0.0012079368002471114,0.0028606911348290076,0.0,1.0,0.0,0.0,2017-09-22,both,True,False,1.0,-0.0012079368002471114,False,True,0.0,0.0,False,True,0.0,0.0,-0.0012079368002471114,-0.003682241272828679,1.281360912665071,0.7926308114724814
2017-09-25,-0.0017026482037236779,0.00625996325241962,0.0,1.0,0.0,0.0,2017-09-25,both,True,False,1.0,-0.0017026482037236779,False,True,0.0,0.0,False,True,0.0,0.0,-0.0017026482037236779,-0.004780696025465048,1.2791792058088,0.7888414845024138
2017-09-26,-0.0005834170651601855,-0.001811161033947295,0.0,1.0,0.0,0.0,2017-09-26,both,True,False,1.0,-0.0005834170651601855,False,True,0.0,-0.0,False,True,0.0,0.0,-0.0005834170651601855,-0.002328025365573305,1.278432910830733,0.7870050415170756
2017-09-27,0.0019309747018931844,-0.015067835015277087,0.0,1.0,0.0,0.0,2017-09-27,both,True,False,1.0,0.0019309747018931844,False,True,0.0,-0.0,False,True,0.0,0.0,0.0019309747018931844,0.0032242039305232506,1.280901532439615,0.7895425062652766
2017-09-28,0.002151320312772098,-0.0029632889741363355,0.0,1.0,0.0,0.0,2017-09-28,both,True,False,1.0,0.002151320312772098,False,True,0.0,-0.0,False,True,0.0,0.0,0.002151320312772098,0.00370840096072933,1.2836571619250132,0.7924704464540474
2017-09-29,0.000983938365108461,0.002248962393240239,0.0,1.0,0.0,0.0,2017-09-29,both,True,False,1.0,0.000983938365108461,False,True,0.0,0.0,False,True,0.0,0.0,0.000983938365108461,0.00113223804000806,1.2849202014542775,0.7933677116391048
2017-10-02,0.0063444147516555915,-0.0018310348596211057,0.0,1.0,0.0,0.0,2017-10-02,both,True,False,1.0,0.0063444147516555915,False,True,0.0,-0.0,False,True,0.0,0.0,0.0063444147516555915,0.012944585300473488,1.2930722681350844,0.8036375276570586
