,lookback,frequency,ShortTermWeight,LongTermWeight,RSI_weight,v_ratio_weight,Z_weight,TotalAnnReturn,CAGR,sharpe,volatility,p_val
228,20,1W-FRI-100%,2,2,1,0,0,0.315432369,0.1506,0.70395396,0.25390786,0.15362
240,20,1W-FRI-100%,3,3,1,0,0,0.315432369,0.1506,0.70395396,0.25390786,0.152
241,20,1W-FRI-100%,3,3,2,0,0,0.315432369,0.1506,0.70395396,0.25390786,0.1544
366,25,2W-FRI-100%,2,3,1,0,0,0.312752138,0.1499,0.700924408,0.254394883,0.32886
238,20,1W-FRI-100%,3,2,2,0,0,0.31974609,0.1518,0.700538146,0.258288855,0.23438
225,20,1W-FRI-100%,2,1,1,0,0,0.320646729,0.152,0.698982544,0.259722949,0.21896
367,25,2W-FRI-100%,2,3,2,0,0,0.310314317,0.1492,0.698690378,0.254292983,0.30546
373,25,2W-FRI-100%,3,2,2,0,0,0.300116147,0.1463,0.68335408,0.257275095,0.18552
226,20,1W-FRI-100%,2,1,2,0,0,0.293404753,0.1444,0.670148957,0.261072694,0.22358
374,25,2W-FRI-100%,3,2,3,0,0,0.289718324,0.1433,0.666414576,0.261308177,0.19036
250,20,2W-FRI-100%,1,3,2,0,0,0.285046851,0.142,0.665209651,0.258972112,0.32908
365,25,2W-FRI-100%,2,2,3,0,0,0.278146373,0.1399,0.660431703,0.257378645,0.28384
237,20,1W-FRI-100%,3,2,1,0,0,0.276256063,0.1393,0.65675796,0.258199355,0.23962
361,25,2W-FRI-100%,2,1,2,0,0,0.273524932,0.1385,0.65153331,0.260048943,0.31066
352,25,2W-FRI-100%,1,1,2,0,0,0.268592883,0.137,0.651458154,0.25651249,0.26498
239,20,1W-FRI-100%,3,2,3,0,0,0.269302582,0.1372,0.648453473,0.258733078,0.31376
372,25,2W-FRI-100%,3,2,1,0,0,0.26804527,0.1368,0.648447379,0.258077511,0.20518
249,20,2W-FRI-100%,1,3,1,0,0,0.269500367,0.1373,0.647703977,0.259643739,0.34888
353,25,2W-FRI-100%,1,1,3,0,0,0.267014703,0.1365,0.644890564,0.25975873,0.27672
251,20,2W-FRI-100%,1,3,3,0,0,0.264121343,0.1356,0.643246433,0.2587138,0.33192
