Date,DIA,TLT
2015-06-30,175.82000732421875,117.45999908447266
2015-07-01,177.39999389648438,115.62000274658203
2015-07-02,177.0500030517578,116.0
2015-07-06,176.67999267578125,118.1500015258789
2015-07-07,177.6300048828125,119.26000213623047
2015-07-08,175.0,120.29000091552734
2015-07-09,175.25999450683594,117.91999816894531
2015-07-10,177.41000366210938,116.05000305175781
2015-07-13,179.60000610351562,115.69000244140625
2015-07-14,180.3300018310547,116.06999969482422
2015-07-15,180.33999633789062,117.30000305175781
2015-07-16,181.07000732421875,118.11000061035156
2015-07-17,180.5399932861328,118.72000122070312
2015-07-20,180.69000244140625,118.22000122070312
2015-07-21,178.97000122070312,118.86000061035156
2015-07-22,178.3000030517578,119.5999984741211
2015-07-23,177.16000366210938,121.08999633789062
