Date,DIA,TLT
2015-05-26,160.33541870117188,108.025634765625
2015-05-27,161.35763549804688,108.27262878417969
2015-05-28,161.15321350097656,108.00799560546875
2015-05-29,160.1043243408203,108.24616241455078
2015-06-01,160.362060546875,107.08277893066406
2015-06-02,160.1398468017578,105.58877563476562
2015-06-03,160.78880310058594,103.89144134521484
2015-06-04,159.30419921875,105.24398803710938
2015-06-05,158.6731719970703,103.9621810913086
2015-06-08,158.05972290039062,103.84723663330078
2015-06-09,157.97085571289062,103.02508544921875
2015-06-10,160.0598602294922,102.12338256835938
2015-06-11,160.57540893554688,104.27155303955078
2015-06-12,159.233154296875,104.27155303955078
2015-06-15,158.31756591796875,104.43952178955078
2015-06-16,159.30419921875,105.26166534423828
2015-06-17,159.54425048828125,104.44840240478516
2015-06-18,161.18882751464844,103.93563842773438
2015-06-19,160.21730041503906,105.2705078125
2015-06-22,161.25115966796875,103.12232208251953
2015-06-23,161.42941284179688,102.5035171508789
2015-06-24,159.90530395507812,103.38752746582031
2015-06-25,159.22796630859375,103.02508544921875
2015-06-26,159.65577697753906,101.86701965332031
2015-06-29,156.5451202392578,104.56331634521484
2015-06-30,156.7056121826172,103.8384017944336
2015-07-01,158.11386108398438,102.4367904663086
2015-07-02,157.8019256591797,102.77344512939453
2015-07-06,157.47213745117188,104.6783218383789
2015-07-07,158.3188934326172,105.66172790527344
2015-07-08,155.97482299804688,106.57429504394531
2015-07-09,156.20652770996094,104.4745101928711
2015-07-10,158.12277221679688,102.81776428222656
2015-07-13,160.07467651367188,102.49879455566406
2015-07-14,160.72528076171875,102.83548736572266
2015-07-15,160.73423767089844,103.9252700805664
2015-07-16,161.3848419189453,104.64288330078125
2015-07-17,161.06546020507812,105.18330383300781
2015-07-20,161.19924926757812,104.74031829833984
2015-07-21,159.66485595703125,105.30731964111328
2015-07-22,159.0670928955078,105.96299743652344
